NOM	CODE_COM	POP_TOT	POP_MAS	POP_FEM
LOMPRET	59356	2335	1149	1186
LOOBERGHE	59358	1180	592	588
LOON-PLAGE	59359	6302	3112	3190
LOOS	59360	21592	10712	10880
LOURCHES	59361	3908	1850	2058
LOUVIGNIES-QUESNOY	59363	955	475	480
LOUVIL	59364	850	439	411
LOUVROIL	59365	6830	3345	3485
LYNDE	59366	691	362	329
LYS-LEZ-LANNOY	59367	12950	6258	6692
MAING	59369	3987	1906	2081
MAIRIEUX	59370	774	391	383
MALINCOURT	59372	508	257	251
MARBAIX	59374	472	239	233
MARCHIENNES	59375	4742	2306	2436
MARCOING	59377	1830	909	921
MARCQ-EN-BAROEUL	59378	38947	18150	20797
MARCQ-EN-OSTREVENT	59379	585	287	298
MARESCHES	59381	895	442	453
MARETZ	59382	1487	729	758
MARLY	59383	11871	5662	6209
MAROILLES	59384	1436	718	718
MARPENT	59385	2669	1317	1352
MARQUETTE-EN-OSTREVANT	59387	1676	825	851
MARQUETTE-LEZ-LILLE	59386	9797	4630	5167
MARQUILLIES	59388	1992	1002	990
MASNIERES	59389	2626	1278	1348
MASNY	59390	4361	2091	2270
MASTAING	59391	909	455	455
MAUBEUGE	59392	31046	14973	16073
MAULDE	59393	957	489	468
MAUROIS	59394	422	200	222
MAZINGHIEN	59395	321	165	156
MECQUIGNIES	59396	652	329	323
MERCKEGHEM	59397	574	291	283
MERIGNIES	59398	2485	1262	1223
MERRIS	59399	1065	492	573
MERVILLE	59400	8993	4409	4584
METEREN	59401	2146	1067	1079
MILLAM	59402	783	393	390
MILLONFOSSE	59403	664	322	342
MOEUVRES	59405	447	231	216
MONCEAU-SAINT-WAAST	59406	512	255	257
MONCHAUX-SUR-ECAILLON	59407	551	283	268
MONCHEAUX	59408	1448	717	731
MONCHECOURT	59409	2575	1283	1292
MONS-EN-BAROEUL	59410	21887	10495	11392
MONS-EN-PEVELE	59411	2139	1042	1097
MONTAY	59412	350	168	182
MONTIGNY-EN-CAMBRESIS	59413	585	302	283
MONTIGNY-EN-OSTREVENT	59414	4872	2293	2579
MONTRECOURT	59415	233	109	124
MORBECQUE	59416	2658	1350	1308
MORTAGNE-DU-NORD	59418	1621	795	826
MOUCHIN	59419	1368	680	688
MOUSTIER-EN-FAGNE	59420	61	33	28
MOUVAUX	59421	13566	6470	7096
NAVES	59422	605	304	301
NEUF-BERQUIN	59423	1241	598	643
NEUF-MESNIL	59424	1254	611	643
NEUVILLE-EN-AVESNOIS	59425	291	138	153
NEUVILLE-EN-FERRAIN	59426	10132	4946	5186
NEUVILLE-SAINT-REMY	59428	3744	1766	1978
NEUVILLE-SUR-ESCAUT	59429	2560	1240	1320
NEUVILLY	59430	1049	526	523
NIEPPE	59431	7587	3680	3907
NIERGNIES	59432	497	247	250
NIEURLET	59433	980	500	480
NIVELLE	59434	1283	644	639
NOMAIN	59435	2464	1225	1239
NOORDPEENE	59436	788	392	396
NOYELLES-LES-SECLIN	59437	879	417	462
NOYELLES-SUR-ESCAUT	59438	766	387	379
NOYELLES-SUR-SAMBRE	59439	314	165	149
NOYELLES-SUR-SELLE	59440	768	376	392
OBIES	59441	704	349	355
OBRECHIES	59442	259	115	144
OCHTEZEELE	59443	341	169	172
ODOMEZ	59444	898	448	450
OHAIN	59445	1292	641	651
OISY	59446	564	268	296
ONNAING	59447	8709	4187	4522
OOST-CAPPEL	59448	528	270	258
ORCHIES	59449	8178	3862	4316
ORS	59450	653	331	322
ORSINVAL	59451	524	267	257
OSTRICOURT	59452	5225	2519	2706
OUDEZEELE	59453	668	340	328
OXELAËRE	59454	510	250	260
PAILLENCOURT	59455	991	490	501
PECQUENCOURT	59456	6154	2976	3178
PERENCHIES	59457	8104	3861	4243
PERONNE-EN-MELANTOIS	59458	871	445	426
PETIT-FAYT	59461	295	152	143
PETITE-FORET	59459	4958	2366	2592
PHALEMPIN	59462	4457	2098	2359
PITGAM	59463	918	465	453
POIX-DU-NORD	59464	2107	1037	1070
POMMEREUIL	59465	761	383	378
PONT-À-MARCQ	59466	2634	1304	1330
PONT-SUR-SAMBRE	59467	2586	1234	1352
POTELLE	59468	361	184	177
PRADELLES	59469	365	188	177
PREMESQUES	59470	2164	1089	1075
PRESEAU	59471	1870	912	958
PREUX-AU-BOIS	59472	837	410	427
PREUX-AU-SART	59473	289	145	144
PRISCHES	59474	996	501	495
PROUVY	59475	2290	1171	1119
PROVILLE	59476	3350	1606	1744
PROVIN	59477	4129	1992	2137
QUAËDYPRE	59478	1146	585	561
QUAROUBLE	59479	3091	1503	1588
QUERENAING	59480	945	470	475
QUESNOY-SUR-DEÛLE	59482	7126	3498	3628
QUIEVELON	59483	154	72	82
QUIEVRECHAIN	59484	5998	2903	3095
QUIEVY	59485	1742	867	875
RÂCHES	59486	2740	1327	1413
RADINGHEM-EN-WEPPES	59487	1343	658	685
RAILLENCOURT-SAINTE-OLLE	59488	2358	1140	1218
RAIMBEAUCOURT	59489	4126	2008	2118
RAINSARS	59490	211	105	106
RAISMES	59491	12754	6189	6565
RAMILLIES	59492	588	296	292
RAMOUSIES	59493	241	116	125
RAUCOURT-AU-BOIS	59494	176	89	87
RECQUIGNIES	59495	2347	1143	1204
REJET-DE-BEAULIEU	59496	246	131	115
RENESCURE	59497	2071	1031	1040
REUMONT	59498	379	188	191
REXPOËDE	59499	1849	926	923
RIBECOURT-LA-TOUR	59500	373	183	190
RIEULAY	59501	1382	644	738
RIEUX-EN-CAMBRESIS	59502	1524	734	790
ROBERSART	59503	186	100	86
ROEULX	59504	3686	1806	1880
ROMBIES-ET-MARCHIPONT	59505	761	369	392
ROMERIES	59506	435	220	215
RONCHIN	59507	18120	8613	9507
RONCQ	59508	12848	6175	6673
ROOST-WARENDIN	59509	6193	3035	3158
ROSULT	59511	1863	935	928
ROUBAIX	59512	94713	45855	48858
ROUCOURT	59513	394	191	203
ROUSIES	59514	4222	2062	2160
ROUVIGNIES	59515	659	331	328
RUBROUCK	59516	940	475	465
RUESNES	59518	440	220	220
RUMEGIES	59519	1580	780	800
RUMILLY-EN-CAMBRESIS	59520	1449	721	728
SAILLY-LEZ-CAMBRAI	59521	450	206	244
SAILLY-LEZ-LANNOY	59522	1776	870	906
SAINGHIN-EN-MELANTOIS	59523	2493	1214	1279
SAINGHIN-EN-WEPPES	59524	5533	2598	2935
SAINS-DU-NORD	59525	3004	1436	1568
SAINT-AMAND-LES-EAUX	59526	16697	7890	8807
SAINT-ANDRE-LEZ-LILLE	59527	11336	5412	5924
SAINT-AUBERT	59528	1520	743	777
SAINT-AUBIN	59529	374	183	191
SAINT-AYBERT	59530	358	173	185
SAINT-BENIN	59531	355	178	177
SAINT-GEORGES-SUR-L'AA	59532	308	160	148
SAINT-HILAIRE-LEZ-CAMBRAI	59533	1643	797	846
SAINT-HILAIRE-SUR-HELPE	59534	780	397	383
SAINT-JANS-CAPPEL	59535	1632	826	806
SAINT-MARTIN-SUR-ECAILLON	59537	526	260	266
SAINT-MOMELIN	59538	412	201	211
SAINT-PIERRE-BROUCK	59539	984	487	497
SAINT-PYTHON	59541	991	483	508
SAINT-REMY-CHAUSSEE	59542	492	241	251
SAINT-REMY-DU-NORD	59543	1193	600	593
SAINT-SAULVE	59544	10983	5070	5913
SAINT-SOUPLET	59545	1290	673	617
SAINT-SYLVESTRE-CAPPEL	59546	1105	547	558
SAINT-VAAST-EN-CAMBRESIS	59547	887	446	441
SAINT-WAAST	59548	614	303	311
SAINTE-MARIE-CAPPEL	59536	834	412	422
SALESCHES	59549	315	163	152
SALOME	59550	2981	1435	1546
SAMEON	59551	1514	745	769
SANCOURT	59552	201	102	99
SANTES	59553	5618	2752	2866
SARS-ET-ROSIERES	59554	528	275	253
SARS-POTERIES	59555	1473	686	787
SASSEGNIES	59556	270	136	134
SAULTAIN	59557	2058	996	1062
SAULZOIR	59558	1701	836	865
SEBOURG	59559	1890	883	1007
SECLIN	59560	12295	5843	6452
SEMERIES	59562	540	282	258
SEMOUSIES	59563	240	121	119
SEPMERIES	59565	587	298	289
SEQUEDIN	59566	4385	2303	2082
SERANVILLERS-FORENVILLE	59567	330	167	163
SERCUS	59568	411	206	205
SIN-LE-NOBLE	59569	16257	7730	8527
SOCX	59570	964	493	471
SOLESMES	59571	4605	2251	2354
SOLRE-LE-CHÂTEAU	59572	1801	834	967
SOLRINNES	59573	125	63	62
SOMAIN	59574	12506	5996	6510
SOMMAING	59575	338	172	166
SPYCKER	59576	1594	781	813
STAPLE	59577	681	350	331
STEENBECQUE	59578	1743	870	873
STEENE	59579	1272	626	646
STEENVOORDE	59580	4055	2010	2045
STEENWERCK	59581	3471	1733	1738
STRAZEELE	59582	773	385	388
